fx_date,base_code,currency_code,usd_to_ccy
2026-01-22,USD,EUR,0.854605
2026-01-22,USD,GBP,0.744690
2026-01-22,USD,CHF,0.793869
2026-01-22,USD,AUD,1.480259
2026-01-22,USD,CAD,1.382106
2026-01-22,USD,SGD,1.283850
2026-01-22,USD,NZD,1.712003
2026-01-22,USD,HKD,7.797262
2026-01-22,USD,MXN,17.483454
2026-01-22,USD,COP,3669.369497
2026-01-22,USD,DOP,63.014776
2026-01-22,USD,GTQ,7.662961
2026-01-22,USD,PEN,3.354176
2026-01-22,USD,CLP,885.615783
2026-01-22,USD,UYU,38.313559
2026-01-22,USD,HUF,328.636115
2026-01-22,USD,CZK,20.784798
2026-01-22,USD,PLN,3.603213
2026-01-22,USD,BGN,1.617346
2026-01-22,USD,HRK,6.438997
2026-01-22,USD,RSD,100.243517
2026-01-22,USD,BRL,5.349295
2026-01-22,USD,TRY,43.306170
2026-01-22,USD,VND,26155.805047
2026-01-22,USD,PHP,59.255223
2026-01-22,USD,INR,91.651518
2026-01-22,USD,JPY,158.157179
2026-01-22,USD,KWD,0.306554
2026-01-22,USD,PYG,6664.751304
2026-01-22,USD,RON,4.345417
2026-01-22,USD,SEK,11.023000
2026-01-22,USD,NOK,10.612000
2026-01-22,USD,DKK,6.747000
2026-01-22,USD,USD,1.0
